buzzing 111100000
by 10010010010010011000100100100100101100101100100101
cackling 111100110
call 100101110101101110011001
calld 11000
calldst 111100001
called 101
calls 100101111100011
came 100100111001010010111010
can 1001001001011100111010100101100100100
candle 1110010110001110010
candles 111100110
cannot 101100101110011101010111000100100
canst 11110000011001
capering 101
carcasses 1110111
care 100111100000
carries 1110011
carrion 11100111100111010
carry 111100100
carthage 111100110
casements 1110001
casket 101111000010010111000
caskets 1011011101110111000
cast 1110111
casualty 1110101
cat 111100100
catch 1100011011
cater-cousins-- 11010
catos 100
caught 100
cause 11010111010011000101
ceases 111100110
cerecloth 1110011
ceremoniously 111100110
ceremony 111100110
certain 11000110111101011010101
certainly 110101110010
certainty 1110010
certified 1110100
chaff 1001110100
chance 110011110100
chanced 111100110
change 110011110110101101
changed 10011001
chapels 101
charge 111100100101
charity 101111100010
charter 111100100
charybdis 111100011
chased 1110010
chaste 101
cheek 110001110101
cheer 11110000011000100
cheerest 111100011
cherubins 111100110
chest 1110101
chests 101
chief 100
chiefest 1110100
child 110101001110101
childhood 100
children 111100011
chin 11010
chins 111100000
choice 110011101110111000
choose 1011011101110110110011001
chooses 101
chooseth 1110011101
choosing 110011110100
chose 1110011101
chosen 101
christening 111100100
christian 11000110001001001100011000101101100
christians 11000111100000
church 1001110111
churches 101
chus 111100000
circumstance 100
cite 11000
citizen 111100100
city 111100001
citys 111100100
civil 111100110
civility 11010
claim 11110000011001
clamber 1110001
clear 1001110100
cleared 111100000
clerk 0111100100101
clerkreads 111100100
clerks 111100110
clime 11001
clock 1101011001
close 11100101110101
clothes 1110010
clown 0
coach 111100010
coals 111100011
coast 100
cobwebs 111100000
coffer 111100100
coffin 1110111
coin 1110011
colchos 100
cold 1011100011010
colour 111100000
colt 101
colts 111100110
come 100100100100100101100100100101101100100100100100101
comer 11001
comes 1001001001011100111000101100101100100101
comforts 111100110
coming 11101111100111000
coming-in 11010
command 110101110000
commanded 1110101
commandment 111100100
commands 111100010
commend 111100100
commendable 100111100010
commendation 111100100
commends 111010111000
comments 111100000
commiseration 111100100
commit 11100101110001
commits 111100000
commodity 100111100000
common 111010111000101
commonwealth 111100011
companions 111100010
company 100100111010110011010
company-- 1110111
comparison 111100000
competency 101
complexion 1011011101111001
compromised 11000
compulsion 111100100
conceit 100111100001
conceits 111100011
conceive 111100110
conceiving 11000
concord 111100110
condition 101100111100011
conduct 111100100
confess 11110000011001
confession 111100000
confirmd 111100000
confiscate 111100100
confound 111100000
confused 1110100
confusion 111100000
confusions 11010
congregate 11000
conjured 11000
conscience 11010
consequence 111100000
consider 111100100
consisteth 111100001
conspired 1110001
constant 111001011011
constitution 111100000
contain 111100100101
containd 1110101
contains 1110011
contemplation 111100010
contending 111100000
content 111100000101101
contented 111100100
contents 111100000
continent 0111100000
continuance 100
contrary 101100
contrive 111100100
contrived 111100100
controversy 111100100
conveniency 111100100
convenient 111100010
conveniently 1110100
converse 101111100000
converted 111100000
converting 111100011
cool 100
cooled 1110111
cooling 100
cope 111100100
cord 111100100
corners 11100111110001
cornets 1100111011101
corrupt 111100000
corruptly 1110101
cost 111011111000
costly 1110101
cottages 101
couching 111100110
could 1011101110011011101100100101
counsel 10111000
counsels 111100000
count 101
counterfeit 111100000
country 1110100
countrymen 111100000
county 101
courage 111100100
courageous 11010
course 11110000111000
court 0101111100010
courteous 11101011110000
courtesies 110001110101
courtesy 111011111010101
courtship 1110100
cousins 111100010
cover 111010111011
covered 111100011
cowards 111100000
cozen 1110101
cradle 111100000
crave 111100100
cream 100
creation 111100000
creature 110011110100
credit 100111100101
creditor 111100001
creditors 1110111100
creep 100111011111011
cressid 111100110
cripple 101
crisped 111100000
cross 11100001110000
crosses 111100110
crossing 1110111
crost 1110001
crow 111100110
crown 111100100
cruel 11110000011001
cruelty 111100100
cry 111100000
crying 1110100
cubs 11001
cuckold 111100110
cuckolds 111100110
cuckoo 111100110
cudgel 11010
cunning 111100000
cupid 1110010
cupids 1110101
cur 110001110110
curb 111100100
curbed 101
cureless 111100100
current 111100100
currish 111100100
curse 1110111
cursed 11000
cursedst 11001
curtain 1110101
curtains 1110011
curtsy 100
custom 11000111100001
customary 111100010
cut 100101111100001101
cut-throat 11000
cutlers 111100110
cutst 111100100
cutting 111100100
dagger 111011111000
dam 111011111010
damn 100
damnation 1110011
damnd 111100100
damned 111011110011000
danger 111100100
dangerous 1001110110100
daniel 111100100
dardanian 111100000
dare 111000011100001110000
daring 11001
dark 111100110
daughter 10010011001101110001100011001100
daughters 11100001110000
day 10010110111000110001001100011001100100
daylight 111100110
dead 101110001110010100
deal 100
dealings 11000
dear 1001110111101100100101
dearest 11110000011001
dearly 111100100
death 10111100011100110011001101
death-bed 111100000
deaths-head 101
debating 11000
debt 11110000010011000
debtor 100
debts 1001110111
decay 111100110
deceased 11010
deceived 11011111001011011
decree 101111100010
decrees 111100100
deed 11000111100001100100
deeds 111100100
deep 101111100010
deface 111100000
defect 11010
defend 101
defendant 111100100
defended 111100110
defending 111100110
defy 111100011
degrees 1110101
deliberate 1110101
delight 1110010101
deliver 11100111110010
deliverance 111100000
deliverd 111100001
delivered 11010
delivering 111100100
demand 111100100
demi-god 111100000
demurely 11010
denied 111100001
deny 110101110011100100101101
denying 111100010
depart 100
departure 101
depending 101
depends 111100100
derived 1110101
describe 101
description 1011110110
desert 1110101
deserts 1110011101
deserve 1110011101
deserved 111100100101
deserves 1110011101
deserving 1011110001
deservings 11101011110000
desire 110001011100110010111010101
desired 1110010
desires 11100111100111010
desirest 111100100
despair 111100000
despise 101
destinies 11010
destiny 110011110001
detain 111100000
determinations 101
determine 111100100
device 111100010
devil 101100101100111000111010
devise 101
devised 101
dew 111100110
diamond 1110111
diana 101111100100
dice 11001
did 100101101100101100101100101100101101100100
dido 111100110
didst 11011
die 10110111100111110000
died 111100010
dies 11110000011001101
diest 111100100
difference 11100011101111010
digest 111100011
dignity 1110101
dim 111100110
dimensions 1110111
dine 11000
dinner 100110001110111100100
dinner-time 100
direct 11100111110010
directed 11100001110001
direction 11000100
directly 11000111100001
disabled 100
disabling 1110011
discharge 11110000011001
discontinued 111100010
discourse 111100011
discover 1110011
discovery 1110010
discretion 111100011
diseases 1110111
disgraced 1110111
disguise 1110000
dish 11010
dislike 101
dismay 110001110101
dismayd 111100110
dismiss 111100100
dispatch 111100000
displeased 111100110
displeasure 111100110
distinct 1110101
divers 1110111
divided 111100000
divine 101
division 111100100
do 100100100101100100100100100100100101100100100100100100100
dobbin 11010
dobbins 11010
dockd 100
doctor 111100010101101
doctors 111100110
dog 10010111100011101011000
dogs 111100100
doing 110001110101101101
doit 11000
done 1001001100011000111000011000
dong 111100000
door 101111100010
doors 1110001100
dost 11010110101011100011000100
dote 101
doth 10111000110001001100011000101101100100
double 11101001100111011
doublet 101
